review_user,review_rate,review_time,review_text
CathlynJane Amodia,5 stars,3 years ago,N/A
KENNETH SY,3 stars,3 years ago,N/A
Orson Canlas,5 stars,3 years ago,N/A
Tyrene Panonce,5 stars,3 years ago,N/A
Charisse Ycong Lozarito,5 stars,3 years ago,N/A
MSMA Macapaz,5 stars,3 years ago,"My late father used to bring us here to hear mass and the Nun's also helped him with his fight for CANCER....prayers, intercessions, holy mass, medical aid and support."
Kitt Mejiliano,5 stars,3 years ago,Spiritual recharge🙏🙏🙏 …
Kenny Dy,4 stars,3 years ago,Peaceful!
Jay Gocotano,4 stars,3 years ago,N/A
Glecy Go,5 stars,3 years ago,N/A
Ivy Espino,5 stars,3 years ago,SOLEMN
jesamae bedolido,5 stars,3 years ago,N/A
Asiole Chinjua,5 stars,3 years ago,N/A
Mani Y,5 stars,3 years ago,Loved it
Laureen Lopez,4 stars,3 years ago,N/A
Kharl Vyncent Magbago,5 stars,3 years ago,N/A
Karla May Soler,4 stars,3 years ago,N/A
Chez Sabando,5 stars,3 years ago,N/A
Marites Alvarez,5 stars,3 years ago,N/A
Conan Lee,4 stars,3 years ago,N/A
Samuel Mahinay,5 stars,3 years ago,"Great miraculous church. More accessible for taxis and puv,puj"
Jorina Francisco,5 stars,3 years ago,One of the religious destination in cebu
Rachel Umali,5 stars,3 years ago,N/A
Marites Anoba,5 stars,3 years ago,N/A
Dave Rubi,5 stars,3 years ago,Carmelite Monastery is a place where you will find solitude and solmnity.
Edz Casinillo,5 stars,3 years ago,"Been blessed with the opportunity to visit this place almost every weekday morning after driving my wife to her workplace. I super love the place, its solemnity, serenity & good ambiance for pious devout prayers. You can talk your heart out …"
Tristan Roque Capili,5 stars,3 years ago,N/A
Ryan Datuin Labrador,5 stars,3 years ago,Its a holy place
Itam My fashion and gigs,5 stars,3 years ago,N/A
Christine Brigette Egos,5 stars,3 years ago,N/A
Matthew Suarez,4 stars,3 years ago,N/A
Melvin Mangubat,5 stars,3 years ago,N/A
한경규 투명에가까운블루 TV,3 stars,3 years ago,It's normal. I like …
Agnes Beldad,5 stars,3 years ago,N/A
DAVID APARICIO VALDERRAMA,5 stars,3 years ago,N/A
Mig Mang,4 stars,3 years ago,N/A
jeehyeMusica,5 stars,3 years ago,N/A
Blademer Abao,5 stars,3 years ago,N/A
Ethel Ibale,5 stars,3 years ago,N/A
#Radtech1983 Motovlog,5 stars,3 years ago,N/A
arturo badilla jr,4 stars,3 years ago,N/A
Barry Montenegro,5 stars,3 years ago,N/A
Lawrenz Valentin,5 stars,3 years ago,N/A
Сергей Solo,4 stars,3 years ago,Beautiful. Calm and quie …
ma katrina advincula (Khat_Advi),5 stars,3 years ago,N/A
박경수,5 stars,3 years ago,N/A
Uldarico Olaguir Jr.,5 stars,3 years ago,Very peaceful place for prayer
Madess Perlado,5 stars,3 years ago,N/A
Samson Pancho,5 stars,3 years ago,N/A
Rhea Mae Bontilao,5 stars,3 years ago,N/A
Herold Mallari,5 stars,4 years ago,N/A
Avie Jane Mabulay,5 stars,4 years ago,N/A
Glenda Madelle Go,5 stars,4 years ago,N/A
leslee john,5 stars,4 years ago,N/A
Ramil Prieto,4 stars,4 years ago,N/A
ryan martin,5 stars,4 years ago,N/A
Cassandra Villacarlos,5 stars,4 years ago,N/A
Eduvigis Samon,5 stars,4 years ago,N/A
Czarina Talon,5 stars,4 years ago,N/A
JANE PAGOBO,5 stars,4 years ago,Very peaceful place for contemplating
Remuel Alcaen,5 stars,4 years ago,Good place for worship and reflection
Juliet Javeluna,5 stars,4 years ago,N/A
JANESCAPED,5 stars,4 years ago,N/A
Edgar Mac,5 stars,4 years ago,N/A
cy_violet08 PsybeL08 Montana,5 stars,4 years ago,A great place to connect to Mama Mary. Quite place to meditate
Francis P,5 stars,4 years ago,N/A
JAN PAULA DELA VICTORIA,5 stars,4 years ago,N/A
Arthur Jason Go,5 stars,4 years ago,N/A
Jackeline “Potpot” Gonzales,5 stars,4 years ago,N/A
Evelyn Baguio,5 stars,4 years ago,N/A
wyndell valle,5 stars,4 years ago,N/A
Godfrey Sullano,5 stars,4 years ago,N/A
Timothy Lanz “Tim” Bermudez,5 stars,4 years ago,A very solemn place and well kept.
TonD C,5 stars,4 years ago,N/A
Marc Rivera,5 stars,4 years ago,N/A
IamPrincessNhaj,5 stars,4 years ago,N/A
Joel Nallos,5 stars,4 years ago,N/A
Eusalde Noynay,3 stars,4 years ago,N/A
Jan Magalso,5 stars,4 years ago,N/A
Christopher Antecristo,5 stars,4 years ago,Very peaceful and the place is very beautiful
Raymund Acuna,4 stars,4 years ago,Our family goes to mass here during the Feast of our Lady of Mount Carmel.
Aspren III Aligno (.),5 stars,4 years ago,ery solemn. we always come here to pray and give thanks
Eleanor Omandam,5 stars,4 years ago,N/A
Kim Canama,5 stars,4 years ago,N/A
Remegio Sagarino (remsaga),5 stars,4 years ago,I prayed for very successful and solemn wedding.. never fails
Mark Lester,4 stars,4 years ago,N/A
Marcializa Andrino,5 stars,4 years ago,N/A
Mark Jay I.,5 stars,4 years ago,N/A
Mariya Clayre G.,5 stars,4 years ago,N/A
Jasper De Castro,5 stars,4 years ago,The place is far from the main road making the ambiance peaceful and silent.
Rod Velarde,5 stars,4 years ago,N/A
Zinn Apawan,5 stars,4 years ago,N/A
J Kim,5 stars,4 years ago,Holy and Peace.
Jo Buot,5 stars,4 years ago,"I loved this church very much so tahimik and for me everytime i go there I have peace on mind.. This is one of my favorite simbahan sa cebu, definitely i will go back there again!!"
Gold Ceniza,5 stars,4 years ago,N/A
Mona Urdaneta,5 stars,4 years ago,N/A
Honorio Jr Granada,5 stars,4 years ago,Religious site...  Solemn place for Prayers/ Mass
Rose Lee,5 stars,4 years ago,N/A
Edgar Acero,4 stars,4 years ago,N/A
John Paul Melosantos,5 stars,4 years ago,N/A
mary noelle galeon,5 stars,4 years ago,N/A
Leinad Garces,5 stars,4 years ago,N/A
azalea maia,5 stars,4 years ago,N/A
Jan Norchel Dayonot,5 stars,4 years ago,N/A
ROGELIO CULANIBANG,5 stars,4 years ago,It is very holy place to visit in cebu.
Romel Ocariza,5 stars,4 years ago,N/A
Jhunice Galvez,5 stars,4 years ago,N/A
Brian Magoncia,4 stars,4 years ago,Solemn and spacious.
Michael Edillo,5 stars,4 years ago,During solemny fiesta mass at carmilite monastery
eich tallz,5 stars,4 years ago,N/A
Paolo Hermano Abella,5 stars,4 years ago,A very solemn place to pray and meditate. I highly recommend this place.
Ernita Kapirig,5 stars,4 years ago,"Yes i visited there once in a while but when novena-mass for the Feast of Our Lady begins,count me on to complete as my devotion."
Jacqueline Bornea James,5 stars,4 years ago,"A place to worship 🙏🙏🙏
I love this place when I'm sad this will be my comfort zone 🥰🥰 …"
Glenda Kiamco,5 stars,4 years ago,N/A
Evelyn Tibon,5 stars,4 years ago,N/A
Remegio Jr Alicante,4 stars,4 years ago,N/A
Phoebe Bacalso,5 stars,4 years ago,N/A
Bhea & Onin Zanoria,5 stars,4 years ago,N/A
laurie,5 stars,4 years ago,A must place to visit when in Cebu.
kringicecream,5 stars,4 years ago,N/A
Christopher Jugo,5 stars,4 years ago,N/A
Arthur Rowland,5 stars,4 years ago,N/A
Maria Theresa Banate,5 stars,4 years ago,N/A
Dianne Claire Pulvera,5 stars,4 years ago,N/A
Llechir,5 stars,4 years ago,N/A
Pau Asentista,5 stars,4 years ago,N/A
Mei Kusakabe,5 stars,4 years ago,N/A
Travel Guide,5 stars,4 years ago,A holy place to talk to God
Wynston Nogra,5 stars,4 years ago,N/A
Royda Ango,5 stars,4 years ago,N/A
Arnie Arriola,4 stars,4 years ago,N/A
Marlyn Chua,5 stars,4 years ago,N/A
Joann Joy Bulambot,5 stars,4 years ago,N/A
Yi Fu,5 stars,4 years ago,Solemn place for prayer and worship.
Henry henry,3 stars,4 years ago,N/A
Jay Cleo,4 stars,4 years ago,N/A
Elna Manguilimotan,5 stars,4 years ago,Nice place
Melanie Beldad,5 stars,4 years ago,Quite and solemn place.
belinda ayuman,5 stars,4 years ago,N/A
James Largado,5 stars,4 years ago,It is a very nice Church.
Paulette Heruela,5 stars,4 years ago,N/A
Mariane Dorothy Batoctoy,5 stars,4 years ago,N/A
Mark Ortega,4 stars,4 years ago,N/A
Janine Rose Roque,4 stars,4 years ago,N/A
"Sr. Rachelle Way-yas, SPC",5 stars,4 years ago,Its very Holy!
Crstyy Kreme,5 stars,4 years ago,N/A
Ailene Sotto-Banogbanog,5 stars,4 years ago,N/A
vixen thanos,5 stars,4 years ago,One of the most solemn places to pray🙏 …
Babes Simbajon,5 stars,4 years ago,Answers prayers
Ludeliza Lopez,5 stars,4 years ago,N/A
mayang zkie,5 stars,4 years ago,N/A
sKrttt /,5 stars,4 years ago,N/A
Louidth Lloyd Galenzoga,4 stars,4 years ago,Its a nice to see the church by pray to our beloved Mother of Mount Carmen  she is our mother of all.
Jeumont Cabanesas,5 stars,4 years ago,N/A
Cherry Mae Bucag,5 stars,4 years ago,During my stay there it was solemnly quiet perfect for releasing all your problems.... There church arrangements are nice I loved it.... Thank you carmelites Monastery 🙏and lord God. …
Marlon Niduaza,3 stars,4 years ago,Amazing place. like Disneyland of the Philippines
Fe Ferrer,5 stars,4 years ago,N/A
Hidelaida Englaterra,5 stars,4 years ago,N/A
Shield Marie Suralta,5 stars,4 years ago,"4th day novena of Our Lady of Mt Carmel
Its a good start of our day to hear Holy Mass .. What a fine blessed Wednesday 😇😊🙏❤ …"
Maria emma Tumulak,5 stars,4 years ago,Solemn
Christopher Cosejo,5 stars,4 years ago,N/A
Rofella Calang,5 stars,4 years ago,N/A
shendyy barss,5 stars,4 years ago,N/A
CPC Carangue,5 stars,4 years ago,N/A
Maria Gracelda Pino (Grace),5 stars,4 years ago,N/A
Jesson Jumao-as,5 stars,4 years ago,N/A
Ale Emboy,5 stars,4 years ago,I love to pray to our Lady of Mount Carmek
Judith Bayo,5 stars,4 years ago,N/A
Jonex Ybanez,3 stars,4 years ago,Well you know... religion...
helen geonzon,5 stars,4 years ago,N/A
Human Being,5 stars,4 years ago,N/A
k cemphasis (Keezee),5 stars,4 years ago,N/A
Eusebio “Euse” Pason,5 stars,4 years ago,A Holy place to pray and ask assistance from the Sisters to pray for you specially those who want an answered prayers.
Clifford Velasco,5 stars,4 years ago,The place is so solemn. It is just a small chapel where in you can pray with less crowd. Feast day is mid July.
Kieran Hunter,5 stars,4 years ago,N/A
G-one Paisones,5 stars,4 years ago,N/A
Allan Catuburan,4 stars,4 years ago,A Catholic Church
Janson,4 stars,4 years ago,N/A
Lino Gomez,4 stars,4 years ago,A good place for worship
Al Tan,4 stars,4 years ago,N/A
C_O_Y,5 stars,4 years ago,N/A
tep yang,4 stars,4 years ago,N/A
Romy Roque,5 stars,4 years ago,Sanctuary for the troubled
Ma. Emma Jalagat,5 stars,4 years ago,N/A
Angelica Rosales,5 stars,4 years ago,N/A
Sidney,5 stars,4 years ago,Peaceful 🙏 …
AZE OBA,5 stars,4 years ago,"Quite place and you may focus your prayers, near ayala malls /business district and sm city cebu."
Patrick Pausanos,5 stars,4 years ago,N/A
DxnEugene Ect Group,5 stars,4 years ago,N/A
abloy26,5 stars,4 years ago,N/A
Suzzanne Saniel,5 stars,4 years ago,"A very solemn place. Though it receives visitors day in and out, it receives the respect and reverence of people for prayers, meditation and contemplation. …"
Roselle Margaret Dangin,5 stars,4 years ago,N/A
ANNA ROSALES VILLARIN,5 stars,4 years ago,N/A
Donn Riel,5 stars,4 years ago,N/A
Grabe Jud,5 stars,4 years ago,I always come visit this place as this has provide me with exact solace and refuge to my soul.
Stephen Amiel,5 stars,4 years ago,😇😇 …
Ivan Tan,4 stars,4 years ago,N/A
Lyn-c “Say” Sabay,5 stars,4 years ago,N/A
Rey Dacalos,5 stars,4 years ago,N/A
Frederick Lenmar Tuyac,4 stars,4 years ago,N/A
Jaydas Sakhare,4 stars,4 years ago,N/A
Ra Macapil,5 stars,4 years ago,N/A
Ivy Estrera,5 stars,4 years ago,N/A
Christian James Andagan,5 stars,4 years ago,N/A
its me TV channel,4 stars,4 years ago,N/A
Ray Avelino,4 stars,4 years ago,N/A
Karen Velasquez,5 stars,4 years ago,Limited parking space.
byron basubas,5 stars,4 years ago,N/A
Tisha Ylaya,5 stars,4 years ago,A personal refuge for years.😇 …
Viaceth Paradero,5 stars,4 years ago,N/A
Mikee Salgado,5 stars,4 years ago,N/A
arma ordesta,5 stars,4 years ago,Place to strengthen your faith
Julyien Grace Bermoy,5 stars,4 years ago,N/A
fred espinosa,5 stars,4 years ago,Love the place. 6am English Mass on a weekday. Great to stay for meditation and worship.
Marc Real,5 stars,4 years ago,N/A
Louie Micame,5 stars,4 years ago,N/A
Dave Acenas,5 stars,4 years ago,N/A
Demosthenes dela pena,4 stars,4 years ago,SOLEMN
Esther Valerie Londite,5 stars,4 years ago,N/A
Kniel Nangit,4 stars,4 years ago,Peaceful
Lakwatsera On the budget,5 stars,4 years ago,N/A
BisDak Cacao Farmer-Cebu,5 stars,4 years ago,Beautiful place for prayer
Mae Mdll,5 stars,4 years ago,N/A
Jean Guia,5 stars,4 years ago,"solemn, quiet and conservative"
Marcus Bulach,5 stars,4 years ago,N/A
Lino Burgos,5 stars,4 years ago,great
iammirai tou,5 stars,4 years ago,N/A
Cheryll Dolera,5 stars,4 years ago,So clean. You can smell fresh flower scent from the entrance. Solemnity is seen even if its front is a national road with busy traffic and all.
Von Robinson,5 stars,4 years ago,N/A
Lemmuel Joseph Villanueva,5 stars,4 years ago,N/A
lyndon naya,5 stars,4 years ago,N/A
arnel oberes,5 stars,4 years ago,N/A
Lysa Marie Manulat,5 stars,4 years ago,N/A
Eduardo Lachica dela Pena,5 stars,4 years ago,Solemn and holy
Dante Pagalan,4 stars,4 years ago,N/A
Fel,5 stars,4 years ago,N/A
Emmar Castillo,5 stars,4 years ago,N/A
Joudimil Omega,5 stars,4 years ago,N/A
Graham John Jabonero,5 stars,4 years ago,N/A
Gerry Manares,5 stars,4 years ago,N/A
Edwin Lim Jacot,5 stars,4 years ago,N/A
Lea Sanchez,4 stars,4 years ago,N/A
